Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
BGRA to YUYV - bt.601 - NON-SSE - avg resampling                                	 13.532642	 13.495120	  0.046150	         0
BGRA to YUYV - bt.709 - NON-SSE - avg resampling                                	 13.531563	 13.497480	  0.042700	         0

BGRA to UYVY - FR - SSE2/SSSE3 - fast resampling                                	  1.771744	  1.757230	  0.023880	         0
BGRA to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.797192	  1.782220	  0.024470	         0
BGRA to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.791517	  1.777000	  0.024120	         0
BGRA to UYVY - FR - SSE2/SSSE3 - avg resampling                                 	  2.259628	  2.244140	  0.024970	         0
BGRA to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.307494	  2.292050	  0.024950	         0
BGRA to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.310981	  2.294780	  0.025640	         0
BGRA to UYVY - FR - SSE2 - fast resampling                                      	  1.774073	  1.758810	  0.024700	         0
BGRA to UYVY - bt.601 - SSE2 - fast resampling                                  	  1.858441	  1.842870	  0.025350	         0
BGRA to UYVY - bt.709 - SSE2 - fast resampling                                  	  1.859795	  1.845150	  0.024120	         0
BGRA to UYVY - FR - SSE2 - avg resampling                                       	  2.540375	  2.524240	  0.025540	         0
BGRA to UYVY - bt.601 - SSE2 - avg resampling                                   	  2.471793	  2.454610	  0.026480	         0
BGRA to UYVY - bt.709 - SSE2 - avg resampling                                   	  2.462866	  2.446390	  0.025790	         0
BGRA to UYVY - FR - NON-SSE - fast resampling                                   	 10.717244	 10.685350	  0.040510	         0
BGRA to UYVY - bt.601 - NON-SSE - fast resampling                               	 10.684871	 10.649820	  0.043580	         0
BGRA to UYVY - bt.709 - NON-SSE - fast resampling                               	 10.721319	 10.687360	  0.042730	         0
BGRA to UYVY - FR - NON-SSE - avg resampling                                    	 14.021808	 13.985490	  0.045210	         0
BGRA to UYVY - bt.601 - NON-SSE - avg resampling                                	 14.000084	 13.969390	  0.039330	         0
BGRA to UYVY - bt.709 - NON-SSE - avg resampling                                	 14.028609	 13.991980	  0.045350	         0

BGRA to YUV422P - FR - SSE2/SSSE3 - fast resampling                             	  1.799821	  1.784410	  0.024990	         0
BGRA to YUV422P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.840513	  1.826040	  0.024210	         0
BGRA to YUV422P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.845758	  1.830990	  0.024550	         0
BGRA to YUV422P - FR - SSE2/SSSE3 - avg resampling                              	  2.333998	  2.318540	  0.024930	         0
BGRA to YUV422P - bt.601 - SSE2/SSSE3 - avg resampling                          	  2.491141	  2.473470	  0.026900	         0
BGRA to YUV422P - bt.709 - SSE2/SSSE3 - avg resampling                          	  2.480263	  2.463910	  0.025890	         0
BGRA to YUV422P - FR - SSE2 - fast resampling                                   	  1.932211	  1.918370	  0.023270	         0
BGRA to YUV422P - bt.601 - SSE2 - fast resampling                               	  1.940989	  1.925420	  0.025170	         0
BGRA to YUV422P - bt.709 - SSE2 - fast resampling                               	  1.936981	  1.923020	  0.024030	         0
BGRA to YUV422P - FR - SSE2 - avg resampling                                    	  2.533563	  2.517360	  0.025880	         0
BGRA to YUV422P - bt.601 - SSE2 - avg resampling                                	  2.563042	  2.546680	  0.025740	         0
BGRA to YUV422P - bt.709 - SSE2 - avg resampling                                	  2.560045	  2.543370	  0.026050	         0
BGRA to YUV422P - FR - NON-SSE - fast resampling                                	 11.520266	 11.489200	  0.039650	         0
