Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
BGRA to v210 - bt.709 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.719718	  0.000000	  0.000000	         0
BGRA to v210 - FR - SSE2/SSSE3/SSE41 - avg resampling                           	  3.330127	  0.000000	  0.000000	         0
BGRA to v210 - bt.601 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.347608	  0.000000	  0.000000	         0
BGRA to v210 - bt.709 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.359154	  0.000000	  0.000000	         0
BGRA to v210 - FR - SSE2/SSSE3 - fast resampling                                	  2.751882	  0.000000	  0.000000	         0
BGRA to v210 - bt.601 - SSE2/SSSE3 - fast resampling                            	  2.859347	  0.000000	  0.000000	         0
BGRA to v210 - bt.709 - SSE2/SSSE3 - fast resampling                            	  2.871240	  0.000000	  0.000000	         0
BGRA to v210 - FR - SSE2/SSSE3 - avg resampling                                 	  3.415945	  0.000000	  0.000000	         0
BGRA to v210 - bt.601 - SSE2/SSSE3 - avg resampling                             	  3.437540	  0.000000	  0.000000	         0
BGRA to v210 - bt.709 - SSE2/SSSE3 - avg resampling                             	  3.432139	  0.000000	  0.000000	         0
BGRA to v210 - FR - NON-SSE - fast resampling                                   	 11.374169	  0.000000	  0.000000	         0
BGRA to v210 - bt.601 - NON-SSE - fast resampling                               	 11.569115	  0.000000	  0.000000	         0
BGRA to v210 - bt.709 - NON-SSE - fast resampling                               	 11.589500	  0.000000	  0.000000	         0
BGRA to v210 - FR - NON-SSE - avg resampling                                    	 14.229336	  0.000000	  0.000000	         0
BGRA to v210 - bt.601 - NON-SSE - avg resampling                                	 14.335041	  0.000000	  0.000000	         0
BGRA to v210 - bt.709 - NON-SSE - avg resampling                                	 14.327584	  0.000000	  0.000000	         0

RGB24 to YUYV - FR - SSE2/SSSE3 - fast resampling                               	  1.588231	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                           	  1.719021	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                           	  1.703474	  0.000000	  0.000000	         0
RGB24 to YUYV - FR - SSE2/SSSE3 - avg resampling                                	  2.106796	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                            	  2.246622	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                            	  2.256434	  0.000000	  0.000000	         0
RGB24 to YUYV - FR - SSE2 - fast resampling                                     	  3.610573	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.601 - SSE2 - fast resampling                                 	  3.635087	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.709 - SSE2 - fast resampling                                 	  3.641622	  0.000000	  0.000000	         0
RGB24 to YUYV - FR - SSE2 - avg resampling                                      	  4.185600	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.601 - SSE2 - avg resampling                                  	  4.200664	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.709 - SSE2 - avg resampling                                  	  4.184832	  0.000000	  0.000000	         0
RGB24 to YUYV - FR - NON-SSE - fast resampling                                  	 10.702415	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.601 - NON-SSE - fast resampling                              	 10.829036	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.709 - NON-SSE - fast resampling                              	 10.858446	  0.000000	  0.000000	         0
RGB24 to YUYV - FR - NON-SSE - avg resampling                                   	 14.865689	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.601 - NON-SSE - avg resampling                               	 14.276359	  0.000000	  0.000000	         0
RGB24 to YUYV - bt.709 - NON-SSE - avg resampling                               	 14.296645	  0.000000	  0.000000	         0

RGB24 to UYVY - FR - SSE2/SSSE3 - fast resampling                               	  1.569061	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                           	  1.699898	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                           	  1.707914	  0.000000	  0.000000	         0
RGB24 to UYVY - FR - SSE2/SSSE3 - avg resampling                                	  2.135256	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                            	  2.304368	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                            	  2.295946	  0.000000	  0.000000	         0
RGB24 to UYVY - FR - SSE2 - fast resampling                                     	  3.633372	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.601 - SSE2 - fast resampling                                 	  3.713521	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.709 - SSE2 - fast resampling                                 	  3.705728	  0.000000	  0.000000	         0
RGB24 to UYVY - FR - SSE2 - avg resampling                                      	  4.177163	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.601 - SSE2 - avg resampling                                  	  4.210509	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.709 - SSE2 - avg resampling                                  	  4.221605	  0.000000	  0.000000	         0
RGB24 to UYVY - FR - NON-SSE - fast resampling                                  	 10.841126	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.601 - NON-SSE - fast resampling                              	 11.211164	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.709 - NON-SSE - fast resampling                              	 11.215143	  0.000000	  0.000000	         0
RGB24 to UYVY - FR - NON-SSE - avg resampling                                   	 15.273029	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.601 - NON-SSE - avg resampling                               	 15.124785	  0.000000	  0.000000	         0
RGB24 to UYVY - bt.709 - NON-SSE - avg resampling                               	 15.109311	  0.000000	  0.000000	         0

RGB24 to YUV422P - FR - SSE2/SSSE3 - fast resampling                            	  1.706539	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.601 - SSE2/SSSE3 - fast resampling                        	  1.822744	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.709 - SSE2/SSSE3 - fast resampling                        	  1.825063	  0.000000	  0.000000	         0
RGB24 to YUV422P - FR - SSE2/SSSE3 - avg resampling                             	  2.342204	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.601 - SSE2/SSSE3 - avg resampling                         	  2.384964	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.709 - SSE2/SSSE3 - avg resampling                         	  2.386986	  0.000000	  0.000000	         0
RGB24 to YUV422P - FR - SSE2 - fast resampling                                  	  3.506971	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.601 - SSE2 - fast resampling                              	  3.711875	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.709 - SSE2 - fast resampling                              	  3.701679	  0.000000	  0.000000	         0
RGB24 to YUV422P - FR - SSE2 - avg resampling                                   	  4.031504	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.601 - SSE2 - avg resampling                               	  4.083779	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.709 - SSE2 - avg resampling                               	  4.091155	  0.000000	  0.000000	         0
RGB24 to YUV422P - FR - NON-SSE - fast resampling                               	 12.327817	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.601 - NON-SSE - fast resampling                           	 12.381939	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.709 - NON-SSE - fast resampling                           	 12.286225	  0.000000	  0.000000	         0
RGB24 to YUV422P - FR - NON-SSE - avg resampling                                	 16.513056	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.601 - NON-SSE - avg resampling                            	 16.276586	  0.000000	  0.000000	         0
RGB24 to YUV422P - bt.709 - NON-SSE - avg resampling                            	 16.003945	  0.000000	  0.000000	         0

RGB24 to YUV420P - FR - SSE2/SSSE3 - fast resampling                            	  1.479560	  0.000000	  0.000000	         0
RGB24 to YUV420P - bt.601 - SSE2/SSSE3 - fast resampling                        	  1.521774	  0.000000	  0.000000	         0
RGB24 to YUV420P - bt.709 - SSE2/SSSE3 - fast resampling                        	  1.524447	  0.000000	  0.000000	         0
