Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
BGRA to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.745813	  1.720110	  0.040000	         1
BGRA to YUYV - FR - SSE2/SSSE3 - avg resampling                                 	  2.302144	  2.240140	  0.080010	         2
BGRA to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.342426	  2.320140	  0.000000	         1
BGRA to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.379657	  2.280150	  0.000000	         2
BGRA to YUYV - FR - SSE2 - fast resampling                                      	  1.849906	  1.880110	  0.000000	         0
BGRA to YUYV - bt.601 - SSE2 - fast resampling                                  	  1.873216	  1.800120	  0.040010	         1
BGRA to YUYV - bt.709 - SSE2 - fast resampling                                  	  1.880888	  1.880110	  0.000000	         0
BGRA to YUYV - FR - SSE2 - avg resampling                                       	  2.321403	  2.320140	  0.000000	         2
BGRA to YUYV - bt.601 - SSE2 - avg resampling                                   	  2.362157	  2.320140	  0.040000	         1
BGRA to YUYV - bt.709 - SSE2 - avg resampling                                   	  2.357436	  2.360150	  0.000000	         2
BGRA to YUYV - FR - NON-SSE - fast resampling                                   	 11.279020	 11.240700	  0.040000	         3
BGRA to YUYV - bt.601 - NON-SSE - fast resampling                               	 11.297643	 11.240710	  0.000000	         2
BGRA to YUYV - bt.709 - NON-SSE - fast resampling                               	 11.288240	 11.280710	  0.000000	         4
BGRA to YUYV - FR - NON-SSE - avg resampling                                    	 12.740907	 12.680790	  0.040000	         3
BGRA to YUYV - bt.601 - NON-SSE - avg resampling                                	 12.729255	 12.760800	  0.000000	         4
BGRA to YUYV - bt.709 - NON-SSE - avg resampling                                	 12.747809	 12.720790	  0.000000	         3

BGRA to UYVY - FR - SSE2/SSSE3 - fast resampling                                	  1.701159	  1.720110	  0.000000	         1
BGRA to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.756731	  1.720110	  0.000000	         2
BGRA to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.773715	  1.800110	  0.000000	         2
BGRA to UYVY - FR - SSE2/SSSE3 - avg resampling                                 	  2.321283	  2.320150	  0.040000	         1
