Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
BGRA to YUV422P - bt.601 - SSE2 - fast resampling                               	  1.865159	  1.720100	  0.080010	         1
BGRA to YUV422P - bt.709 - SSE2 - fast resampling                               	  1.861198	  1.880120	  0.040000	         0
BGRA to YUV422P - FR - SSE2 - avg resampling                                    	  2.237651	  2.240140	  0.000000	         1
BGRA to YUV422P - bt.601 - SSE2 - avg resampling                                	  2.212226	  2.200140	  0.040000	         0
BGRA to YUV422P - bt.709 - SSE2 - avg resampling                                	  2.207060	  2.200130	  0.040000	         1
BGRA to YUV422P - FR - NON-SSE - fast resampling                                	 13.914195	 13.920870	  0.040010	         5
BGRA to YUV422P - bt.601 - NON-SSE - fast resampling                            	 13.902876	 13.840860	  0.000000	         1
BGRA to YUV422P - bt.709 - NON-SSE - fast resampling                            	 13.916658	 13.880870	  0.040000	         4
BGRA to YUV422P - FR - NON-SSE - avg resampling                                 	 15.651173	 15.640980	  0.000000	         5
BGRA to YUV422P - bt.601 - NON-SSE - avg resampling                             	 15.619810	 15.600970	  0.000000	         3
BGRA to YUV422P - bt.709 - NON-SSE - avg resampling                             	 15.630696	 15.520970	  0.000000	         3

BGRA to YUV420P - FR - SSE2/SSSE3 - fast resampling                             	  1.504586	  1.480090	  0.040000	         1
BGRA to YUV420P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.549955	  1.560100	  0.000000	         0
BGRA to YUV420P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.552162	  1.520090	  0.080000	         1
BGRA to YUV420P - FR - SSE2 - fast resampling                                   	  1.554185	  1.480090	  0.000000	         1
BGRA to YUV420P - bt.601 - SSE2 - fast resampling                               	  1.591789	  1.600100	  0.000000	         1
BGRA to YUV420P - bt.709 - SSE2 - fast resampling                               	  1.586678	  1.560100	  0.000000	         1
BGRA to YUV420P - FR - NON-SSE - fast resampling                                	 11.286200	 11.200710	  0.000000	         3
BGRA to YUV420P - bt.601 - NON-SSE - fast resampling                            	 11.279246	 11.280710	  0.000000	         4
BGRA to YUV420P - bt.709 - NON-SSE - fast resampling                            	 11.275492	 11.280700	  0.000000	         5

BGRA to v210 - FR - SSE2/SSSE3/SSE41 - fast resampling                          	  2.548533	  2.520150	  0.000000	         2
BGRA to v210 - bt.601 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.588253	  2.640160	  0.000000	         1
BGRA to v210 - bt.709 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.594883	  2.560150	  0.000000	         3
BGRA to v210 - FR - SSE2/SSSE3/SSE41 - avg resampling                           	  3.089984	  3.120200	  0.000000	         1
